Model,Version,Test_Accuracy,Test_F1,Test_AUC
RandomForest,ALL,0.7665010645848119,0.596319018404908,0.8242437159316954
RandomForest,TOP,0.7665010645848119,0.6078665077473182,0.823247823503578
SVM,ALL,0.7544357700496807,0.6022988505747127,0.8093970394481903
SVM,TOP,0.7508871540099361,0.6147091108671789,0.8112945309876255
XGBoost,ALL,0.7700496806245565,0.55858310626703,0.8020679945232375
XGBoost,TOP,0.7530163236337828,0.5639097744360902,0.8010992275698158
